species_id,version_id,language_id,flavor_text
1,1,9,A strange seed wasplanted on itsback at birth. The plant sproutsand grows withthis POKéMON.
1,2,9,A strange seed wasplanted on itsback at birth. The plant sproutsand grows withthis POKéMON.
1,3,9,"It can go for dayswithout eating asingle morsel. In the bulb onits back, itstores energy."
1,4,9,The seed on itsback is filledwith nutrients. The seed growssteadily larger asits body grows.
1,5,9,"It carries a seedon its back rightfrom birth. As it grows older, theseed also growslarger."
1,6,9,"While it is young,it uses thenutrients that are stored in theseeds on its backin order to grow."
1,7,9,"BULBASAUR can be seen napping inbright sunlight.There is a seed on its back. By soaking up the sun’s rays, the seedgrows progressively larger."
1,8,9,"BULBASAUR can be seen napping inbright sunlight.There is a seed on its back. By soaking up the sun’s rays, the seedgrows progressively larger."
1,9,9,"BULBASAUR can be seen napping in brightsunlight. There is a seed on its back.By soaking up the sun’s rays, the seedgrows progressively larger."
1,10,9,There is a plant seed on its back rightfrom the day this POKéMON is born.The seed slowly grows larger.
1,11,9,A strange seed was planted on its back atbirth. The plant sprouts and grows withthis POKéMON.
1,12,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,13,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,14,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,15,9,The seed on its back is filledwith nutrients. The seed growssteadily larger as its body grows.
1,16,9,"It carries a seed on its back rightfrom birth. As it grows older, theseed also grows larger."
1,17,5,"Au matin de sa vie, la graine surson dos lui fournit les élémentsdont il a besoin pour grandir."
1,17,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,18,5,"Au matin de sa vie, la graine surson dos lui fournit les élémentsdont il a besoin pour grandir."
1,18,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,21,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,22,9,"For some time after its birth, itgrows by gaining nourishment fromthe seed on its back."
1,23,1,うまれたときから　せなかにふしぎな　タネが　うえてあってからだと　ともに　そだつという。
1,23,3,태어났을 때부터 등에이상한 씨앗이 심어져 있으며몸과 함께 자란다고 한다.
1,23,5,Il a une étrange graine plantée sur son dos.Elle grandit avec lui depuis sa naissance.
1,23,6,"Dieses Pokémon trägt von Geburt an einen Samenauf dem Rücken, der mit ihm keimt und wächst."
1,23,7,Una rara semilla le fue plantada en el lomo al nacer.La planta brota y crece con este Pokémon.
1,23,8,Alla nascita gli è stato piantato sulla schiena un semeraro. La pianta sboccia e cresce con lui.
1,23,9,A strange seed was planted on its back at birth.The plant sprouts and grows with this Pokémon.
1,23,11,生まれたときから　背中に不思議な　タネが　植えてあって体と　ともに　育つという。
1,24,1,うまれてから　しばらくの　あいだはせなかの　タネから　えいようをもらって　おおきく　そだつ。
1,24,3,태어나서부터 얼마 동안은등의 씨앗으로부터 영양을공급받아 크게 성장한다.
1,24,5,"Au matin de sa vie, la graine sur son dos lui fournitles éléments dont il a besoin pour grandir."
1,24,6,Nach der Geburt nimmt es für eine Weile Nährstoffeüber den Samen auf seinem Rücken auf.
1,24,7,"Después de nacer, crece alimentándose de lassemillas de su lomo."
1,24,8,"Dopo la nascita, cresce traendo nutrimento dal semepiantato sul suo dorso."
1,24,9,"For some time after its birth, it grows by gainingnourishment from the seed on its back."
